index,Unnamed: 0,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.input_task0,Input.input_task1,Input.input_task2,Input.input_task3,Input.input_task4,Input.input_task5,Input.input_task6,Input.input_task7,Input.input_task8,Input.input_task9,Input.input_task10,Input.input_task11,Input.input_task12,Input.input_task13,Input.input_task14,Input.input_task15,Input.input_task16,Input.input_task17,Input.input_task18,Input.input_task19,Input.input_task20,Input.input_task21,Input.input_task22,Input.input_task23,Input.input_task24,Input.input_task25,Input.input_task26,Input.input_task27,Input.input_task28,Input.input_task29,Input.input_task30,Input.input_task31,Input.input_task32,Input.input_task33,Input.input_task34,Input.input_task35,Input.input_task36,Input.input_task37,Input.input_task38,Input.input_task39,Input.input_task40,Input.input_task41,Input.input_task42,Input.input_task43,Input.input_task44,Input.input_task45,Input.input_task46,Input.input_task47,Input.input_task48,Input.input_task49,Answer.aapi.on,Answer.age,Answer.black.on,Answer.city,Answer.disability.dis-no,Answer.disability.dis-undisclosed,Answer.disability.dis-yes,Answer.gender.female,Answer.gender.gender-other,Answer.gender.male,Answer.gender.nb,Answer.hisp.on,Answer.household-members,Answer.income.income-1,Answer.income.income-2,Answer.income.income-3,Answer.income.income-4,Answer.income.income-5,Answer.income.income-6,Answer.income.income-7,Answer.native.on,Answer.occupation,Answer.q1.q1-no,Answer.q1.q1-yes,Answer.q2.q2-no,Answer.q2.q2-yes,Answer.q3.q3-no,Answer.q3.q3-yes,Answer.q4.q4-no,Answer.q4.q4-yes,Answer.q5.q5-no,Answer.q5.q5-yes,Answer.race-other.on,Answer.repeat-task10,Answer.repeat-task16,Answer.repeat-task25,Answer.repeat-task43,Answer.state,Answer.task0,Answer.task1,Answer.task10,Answer.task11,Answer.task12,Answer.task13,Answer.task14,Answer.task15,Answer.task16,Answer.task17,Answer.task18,Answer.task19,Answer.task2,Answer.task20,Answer.task21,Answer.task22,Answer.task23,Answer.task24,Answer.task25,Answer.task26,Answer.task27,Answer.task28,Answer.task29,Answer.task3,Answer.task30,Answer.task31,Answer.task32,Answer.task33,Answer.task34,Answer.task35,Answer.task36,Answer.task37,Answer.task38,Answer.task39,Answer.task4,Answer.task40,Answer.task41,Answer.task42,Answer.task43,Answer.task44,Answer.task45,Answer.task46,Answer.task47,Answer.task48,Answer.task49,Answer.task5,Answer.task6,Answer.task7,Answer.task8,Answer.task9,Answer.white.on,Approve,Reject,Answer.income.income-10,Answer.income.income-11,Answer.income.income-12,Answer.income.income-13,Answer.income.income-14,Answer.income.income-8,Answer.income.income-9
6,6,3UY4PIS8RX2D0EZ0G0JR6A50QB0N1U,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:45 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:11 PST 2022,,,3Q5ZZ9ZEVVWU89B92O1MFMOALTA58W,A3HNEYFOIJWPH1,Approved,Sun Jan 30 09:45:11 PST 2022,Sun Jan 30 10:39:47 PST 2022,Wed Feb 02 10:39:47 PST 2022,Wed Feb 02 10:40:18 PST 2022,,,3276,100% (29/29),100% (27/27),0% (0/0),make tamarillo chutney,make spotted dick,make lobster bisque,cook teff,make pastry,chop cilantro,make alfajores,make semolina kesari rava kesari,cook kielbasa,make shabu shabu,shuck oysters,balayage,make instant coffee,make loukoumades,clean a computer monitor,store coffee beans or ground coffee,cook grasshoppers,make baked parmesan zucchini,make frosted cranberries,fill a tea bag,clean a pickup truck,glaze a ham,buy dog care products,clean wooden blocks,buy a garage door opener,make lo mein,make cream soda,make a peppermint platter,cook chickpeas,make pho,buy door knobs,clean snap peas,clean raw denim,clean a drain,make a casserole,clean a blender,make palak paneer,chop broccoli,clean a guitar,make an affogato,dispose of batteries,clean mussels,trellis cucumbers,fold a plastic bag,cook beet greens,make pasta sauce,spring clean your skateboard,clean fishing lures,make a spam musubi,buy car seat covers,False,38,False,Hobart,True,False,False,False,False,True,False,False,3,False,False,False,False,False,False,False,False,HVAC Tech,True,False,True,False,True,False,True,False,False,True,False,4,2,2,2,in,2,2,2,2,3,2,7,3,2,2,2,2,2,8,2,4,5,4,2,2,2,2,2,2,2,2,2,7,2,5,2,2,6,2,3,4,3,2,2,2,2,6,4,2,3,2,2,2,2,2,True,x,,,,,,,,
7,7,34D9ZRXCZXB6AF45KFT6G589H4ESAZ,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:45 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:11 PST 2022,,,358UUM7WR6KFDI4OPQMJ4NXB2RT7RP,A3HNEYFOIJWPH1,Approved,Sun Jan 30 09:44:58 PST 2022,Sun Jan 30 10:04:44 PST 2022,Wed Feb 02 10:04:44 PST 2022,Wed Feb 02 10:05:18 PST 2022,,,1186,100% (29/29),100% (27/27),0% (0/0),cook shark,cook carrots,make strawberry cream cheese icing,polisha car,disinfect laundry,cook snap peas,make spiced oranges in sherry,remove ice from gutters,clean clear plastic,clean marker off a doll,make fruit pie,melt white chocolate,make homemade spa kit for mum,remove linoleum,prepare a hanging basket,make breakfast strata,make a fruit bowl for a party,clean a kitchen table,freeze meat,wash jeans,prepare a boat for fishing,grease and flour a pan,make empanadas,buy boxes for packing,make a small pet carrying sack,make a rice sock,grill burgers,clean your kitty litter box,prepare and cook seaweed,clean a pipe,make vegetarian gravy,clean an eraser,warm tortillas,make humitas,spray stucco,polish wood floors,buy a circular saw,make tumbet,cook beef,wash an infant car seat,make baby food,make waffles,make blueberry strudel,buy carpet,make fish stew,clean place mats,clean walls,clean up gasoline,store beer,make instant pudding,False,38,False,Hobart,True,False,False,False,False,True,False,False,3,False,False,False,False,False,False,False,False,HVAC Tech,True,False,True,False,True,False,True,False,False,True,False,2,2,2,6,in,2,2,2,2,2,3,3,2,2,6,4,7,2,7,2,2,5,3,2,4,9,2,5,7,3,3,2,2,3,2,4,2,3,6,7,5,2,2,6,4,5,6,9,4,3,2,2,9,7,2,True,x,,,,,,,,
8,8,3GITHABAD42KPZHWZ4J5BTF5IHEN2B,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:45 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:11 PST 2022,,,3XIQGXAUMJPZAEQ0YPSBT5JZ38E7XL,A3HNEYFOIJWPH1,Approved,Sun Jan 30 09:45:03 PST 2022,Sun Jan 30 10:23:01 PST 2022,Wed Feb 02 10:23:01 PST 2022,Wed Feb 02 10:23:18 PST 2022,,,2278,100% (29/29),100% (27/27),0% (0/0),clean a small pet cage,make citrus punch,prepare and cook prawns,make a reuben sandwich,hang a dartboard,make matzo toast,clean a hamper,clean a hot water dispenser,make strawberry macarons,make a kosher reuben sandwich,clean a stainless steel dishwasher,make chiles rellenos,clean a lobster,make a period kit,freeze nuts,cook zucchini,make gazpacho,clean up water damage,make fruit cream,make dal makhani,can beans,make pralines,clean grease,clean brass casings,store an uncooked turkey,cook peas,cook israeli couscous,make spaghetti with meatballs,make an egg tomato and toast breakfast,make a sausage sandwich,buy a keg,prepare a baby bottle,cook pumpkin seeds,make a wiener schnitzle,buy food for vegetarians,make applesauce,put tissue paper in a gift bag,buy a air conditioner,prepare shrimp scampi,make an ice cream cake,make a cheese pastry,remove spots from linen,make lettuce wraps,make haleem minced meat,boil wort,setup a trampoline,clean a light bulb,make raisin and pecan cinnamon rolls,make dinner rolls,make fruit cobbler,False,38,False,Hobart,True,False,False,False,False,True,False,False,3,False,False,False,False,False,False,False,False,HVAC Tech,True,False,True,False,True,False,True,False,False,True,False,8,2,2,2,in,8,2,8,2,2,2,2,2,2,8,2,2,2,2,2,7,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,6,2,2,3,2,2,2,2,2,7,5,2,3,2,2,2,6,2,2,True,x,,,,,,,,
9,9,34KYK9TV3XPBTP9XQTT2BGSFZMZSBU,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:45 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:11 PST 2022,,,3SBEHTYCWUKLZ3X6MCIA38GHJUIYIC,A3HNEYFOIJWPH1,Approved,Sun Jan 30 09:44:53 PST 2022,Sun Jan 30 09:50:30 PST 2022,Wed Feb 02 09:50:30 PST 2022,Wed Feb 02 09:51:18 PST 2022,,,337,100% (29/29),100% (27/27),0% (0/0),freeze tofu,cook beef and onions,buy a good backpack,unhook a fish,buy baby food,buy good chocolate,buy green coffee beans,cook sea urchin,pack for the pool,buy pet food for less,make lumpia,cook myanmar mohinga,make cherry ketchup,make pastillas,clean copper wire,make dorayaki,make conchas,clean a purse,cook a duck,toast sunflower seeds,make cupcakes,make a chia breakfast bowl,buy a bicycle,cook onions,prepare a breakfast bar,hang a hammock indoors,make poached apricots with lavender,clean a fountain pen,make brandy snaps,put together a goodie bag,make lemon or lime water,cook asparagus,clean a crab,make pimiento cheese spread,cook squid,cook ramen noodles,buy sunglasses for toddlers,wash a motorcycle,buy dog food,prepare beetroot rice,felt a pool table,make chocolate biscuits,make pan bagnat,store winter coats,clean a nylon purse,cook mughlai paratha veg and non veg,fill a syringe,make rhubarb crumble,make popsicles,remove hard water spots,False,38,False,Hobart,True,False,False,False,False,True,False,False,3,False,False,False,False,False,False,False,False,HVAC Tech,True,False,True,False,True,False,True,False,False,True,False,3,5,7,6,in,5,5,4,3,3,3,5,3,2,5,4,3,8,5,3,8,4,3,5,3,3,3,6,4,3,4,4,3,5,4,8,8,6,3,7,2,3,3,6,5,2,4,3,3,7,5,6,4,4,7,True,x,,,,,,,,
10,10,3IVKZBIBK6QLK2CJQL3YXRVDUZ4HSZ,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:45 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:12 PST 2022,,,3R08VXYT7JCKLELAOKWPRM5SU687WS,A3HNEYFOIJWPH1,Approved,Sun Jan 30 09:45:00 PST 2022,Sun Jan 30 10:12:28 PST 2022,Wed Feb 02 10:12:28 PST 2022,Wed Feb 02 10:13:18 PST 2022,,,1648,100% (29/29),100% (27/27),0% (0/0),make lassi,make a gift basket for a grandchild,make a smoky cheese ball,make a spaghetti sandwich,clean a beer keg,cook eggplant,make dil pasand,make kheer,buy organic beer,make a cookie bouquet,clean gourds,clean black rims,make a red meat sauce,cook fish,make pumpkin pie spice,make peda,wash goalkeeper gloves,buy a camping tent,make raspberry cranachan,cook arepas,make knish,make sea glass jars,boil water,make meat pies,polish pewter,make ricotta cheese,dispose of glass,buy porcelain dinnerware,make poutine,clean a sauna,make sweet milk buns,cook mussels,remove gum from a table,make a vegetarian philly cheesesteak,clean a broiler pan,buy kefir grains,clean adhesive from scissors,make crustless quiche,make dessert kabobs,cook bacon,store dahlia bulbs,wrapa vase with burlap,store brownies,pack a beach bag,make tzatziki,cook brown rice,buy a microwave oven,attach a camera to a tripod,buy natural beef,clean outdoor tiles,False,38,False,Hobart,True,False,False,False,False,True,False,False,3,False,False,False,False,False,False,False,False,HVAC Tech,True,False,True,False,True,False,True,False,False,True,False,2,7,3,5,in,2,5,2,2,2,3,2,2,6,5,2,2,2,2,4,6,4,6,2,8,7,2,7,4,2,3,7,2,7,2,5,3,2,2,5,2,2,2,5,2,4,5,4,3,7,2,2,2,2,2,True,x,,,,,,,,
12,12,3UUIU9GZDBMAJ953EJ7FIZO9R9R5TV,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:45 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:12 PST 2022,,,34Z02EIMIZUEBMHW8G65PNO6IYJT0N,A2R8IV2PWFTY00,Approved,Sun Jan 30 09:44:56 PST 2022,Sun Jan 30 09:50:51 PST 2022,Wed Feb 02 09:50:51 PST 2022,Wed Feb 02 09:51:20 PST 2022,,,355,100% (3/3),100% (2/2),0% (0/0),clean a air conditioner,can meat,make dalia,buy hiking gear,heat sake,make cookie dough,make guacamole,clean pottery,make dolma grape leaves roll,wash and care for a string bikini,make mulled wine,cook a snake,make pizza dough,make baked alaska,make cinnamon sugar,make a panini,make mazidra,make iraqi baklava,disinfect nail clippers,cook chicken,remove sod,make lemon bars,buy a shower curtain,grill vegetables,buy a summer wardrobe,make a gift box,make bhel puri,pour beer,clean a baking stone,clean soot from glass lanterns,make seitan goulash,make laab moo,store loose leaf tea,cook lamb,cook squash,make toast,make a candy centerpiece,make vietnamese crepes,make queso dip,cook kale,iron taffeta,clean your pencil case,make adai,rack wine,prepare a raised bed garden,make cake mix,make the ultimate spa basket,buy a corset,clean mushrooms,buy a snowboard,False,57,False,Seligman,True,False,False,False,False,True,False,False,1,False,False,False,False,False,False,False,False,Webmaster,True,False,True,False,True,False,True,False,True,False,False,2,2,2,6,mo,10,2,2,2,8,8,3,8,2,4,2,7,2,10,7,2,2,2,2,2,2,6,10,2,6,2,2,8,8,10,9,8,10,6,2,2,2,2,8,10,10,2,2,2,2,8,9,10,2,6,True,x,,,,,,,,
13,13,3UUIU9GZDBMAJ953EJ7FIZO9R9R5TV,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:45 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:12 PST 2022,,,3OWEPKL08GTUYKCWWJ52V3S11U47N1,A3HNEYFOIJWPH1,Approved,Sun Jan 30 09:44:57 PST 2022,Sun Jan 30 10:01:37 PST 2022,Wed Feb 02 10:01:37 PST 2022,Wed Feb 02 10:02:18 PST 2022,,,1000,100% (29/29),100% (27/27),0% (0/0),clean a air conditioner,can meat,make dalia,buy hiking gear,heat sake,make cookie dough,make guacamole,clean pottery,make dolma grape leaves roll,wash and care for a string bikini,make mulled wine,cook a snake,make pizza dough,make baked alaska,make cinnamon sugar,make a panini,make mazidra,make iraqi baklava,disinfect nail clippers,cook chicken,remove sod,make lemon bars,buy a shower curtain,grill vegetables,buy a summer wardrobe,make a gift box,make bhel puri,pour beer,clean a baking stone,clean soot from glass lanterns,make seitan goulash,make laab moo,store loose leaf tea,cook lamb,cook squash,make toast,make a candy centerpiece,make vietnamese crepes,make queso dip,cook kale,iron taffeta,clean your pencil case,make adai,rack wine,prepare a raised bed garden,make cake mix,make the ultimate spa basket,buy a corset,clean mushrooms,buy a snowboard,False,38,False,Hobart,True,False,False,False,False,True,False,False,3,False,False,False,False,False,False,False,False,HVAC Tech,True,False,True,False,True,False,True,False,False,True,False,5,2,5,3,in,9,3,2,3,4,3,2,2,2,2,4,3,2,7,4,5,3,5,5,2,5,5,5,5,2,2,2,3,2,2,3,3,3,2,2,2,6,2,3,2,2,2,5,5,5,4,2,6,2,2,True,x,,,,,,,,
14,14,307L9TDWK499AHDF34XAU3KXOVEN3M,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:45 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:12 PST 2022,,,3DY46V3X3WZBLRS74QUJ32EJJ3955U,A3HNEYFOIJWPH1,Approved,Sun Jan 30 09:45:09 PST 2022,Sun Jan 30 10:35:29 PST 2022,Wed Feb 02 10:35:29 PST 2022,Wed Feb 02 10:36:18 PST 2022,,,3020,100% (29/29),100% (27/27),0% (0/0),make a cappuccino,clean shower doors,cook dandelion greens,clean cup holders,make urappu adai kara adai,store a quilt,buy silver,make calzones,make milk rice,make vegan queso dip,clean a pumpkin,clean the bottom of an iron,make spaghetti,clean a popcorn machine,make a dosa,make a sumosan roll,make eggplant parmesan,cook tempeh,cook turnips,cook mushrooms,make kaiser rolls,make vegan cole slaw,make a veggie burger,make watermelon punch,make khichdi,make banana spread,prepare a slow dinner party,cook rice,make fruit salad,buy rechargeable batteries,make baked spaghetti,make a frittata,prepare baking pans,buy a beginner trumpet,prepare for a school concert,cook lugaw,store firewood outdoors,cook turkey drumsticks,clean sand dollars,make a canteen yard sale,wash a bra,buy a stainless steel water bottle,clean a mousepad,cook oxtails,can fruit,clean a rice cooker,make sloppy joes,clean dog collars,refill a lighter,buy rhubarb,False,38,False,Hobart,True,False,False,False,False,True,False,False,3,False,False,False,False,False,False,False,False,HVAC Tech,True,False,True,False,True,False,True,False,False,True,False,3,2,2,2,in,3,6,3,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,3,3,6,2,2,5,3,5,2,6,2,2,2,2,6,3,6,2,2,5,2,5,2,2,4,3,2,2,2,True,x,,,,,,,,
15,15,3RWSQDNYMF3S21GRPBFZN70LPUXFFG,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:45 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:13 PST 2022,,,3L6L49WXW7ETP8O7QLB9YA85J7E54P,A3HNEYFOIJWPH1,Approved,Sun Jan 30 09:45:08 PST 2022,Sun Jan 30 10:32:35 PST 2022,Wed Feb 02 10:32:35 PST 2022,Wed Feb 02 10:33:18 PST 2022,,,2847,100% (29/29),100% (27/27),0% (0/0),make heavenly rolls,boil milk,clean a razor blade,tidy your garden,make saffron rice,cook tamarind pulihora,make yams,setup a vegan kitchen,clean a garden sprayer,make batter,make bun bo hue,store baking soda,set up a buffet,make an avocado dessert,cook papaitan,clean a fish,make ilish bhapa,buy fish,freeze fruit,cover a flower pot in fabric,make relish,cook noodles,cook lettuce,make lemon delicious,make spice salt,clean a grease filter,make yorkshire pudding,make coffee,make okonomiyaki,clean your house after a wild party,buy home use medical supplies,store eggs,make chocolate syrup,buy used gardening equipment,cook baby corn,prepare wine and cheese,set up a coffee station in your kitchen,buy alcohol,make a saline solution,make hoppers,make a ragdoll wig,clean dentures,clean bok choy,warm soft cheese,buy a wetsuit,reheat frozen or chilled food,grasp the meaning of results not typical,clean mirrors,clean flounder,make edible chocolate chip cookie dough,False,38,False,Hobart,True,False,False,False,False,True,False,False,3,False,False,False,False,False,False,False,False,HVAC Tech,True,False,True,False,True,False,True,False,False,True,False,2,2,7,2,in,2,3,2,3,5,2,2,3,2,3,2,2,4,2,2,2,2,2,7,4,3,2,9,8,6,2,2,5,2,2,5,5,2,2,2,3,6,2,2,3,2,2,8,2,2,2,2,7,6,2,True,x,,,,,,,,
16,16,3WPCIUYH2GP5NMKWTPPYGBC14QPDTB,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:46 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:13 PST 2022,,,31Z0PCVWURWSTXHGTFRE42YTQCQ7T2,A3HNEYFOIJWPH1,Approved,Sun Jan 30 09:44:59 PST 2022,Sun Jan 30 10:09:43 PST 2022,Wed Feb 02 10:09:43 PST 2022,Wed Feb 02 10:10:18 PST 2022,,,1484,100% (29/29),100% (27/27),0% (0/0),make a BLT in a bowl,buy silver coins,make blue cheese dip,make a lobster roll,make pizza sauce,make chicken fajitas,buy a nursing bra,place houseplants around your home,buy natural supplements,buy a wine decanter,make iced chocolate,buy school supplies for high school,clean a wood pipe,remove tile,remove wall anchors,frost a cake,make fried green tomatoes,make chickpea alfredo,remove scorch marks,fill a hot water bottle,buy flax seed,make roti,make fried rice,make cronuts,clean a cement patio,prepare and cook swiss chard,set up a hot dog bar,buy saguaro cactus,pack your gym bag,make tuticorin macaroons,make crackers,clean a felt pool table top,clean an acrylic shower,make a tropical breakfast,chop down a tree,put togethera basic pruning kit,cook ham hocks,make strawberries and cream,make a pizza more cheesy,make idiyappam,make caramel apples,halve an egg,make beavertails,buy a used external flash,cook mhalabia,buy a motorcycle helmet,make fish stock,clean a dirty tent,setup a fish tank,make crab masala,False,38,False,Hobart,True,False,False,False,False,True,False,False,3,False,False,False,False,False,False,False,False,HVAC Tech,True,False,True,False,True,False,True,False,False,True,False,2,2,2,2,in,2,3,2,5,5,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,3,5,7,4,9,6,2,2,2,2,3,2,2,2,3,2,5,3,6,8,2,3,2,6,6,2,True,x,,,,,,,,
17,17,3WPCIUYH2GP5NMKWTPPYGBC14QPDTB,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:46 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:13 PST 2022,,,3SPJ033428KHUEHC4U3AF9VHW97YJO,AXMPSUNKUBEIL,Approved,Sun Jan 30 09:44:54 PST 2022,Sun Jan 30 09:56:45 PST 2022,Wed Feb 02 09:56:45 PST 2022,Wed Feb 02 09:57:19 PST 2022,,,711,100% (2/2),100% (2/2),0% (0/0),make a BLT in a bowl,buy silver coins,make blue cheese dip,make a lobster roll,make pizza sauce,make chicken fajitas,buy a nursing bra,place houseplants around your home,buy natural supplements,buy a wine decanter,make iced chocolate,buy school supplies for high school,clean a wood pipe,remove tile,remove wall anchors,frost a cake,make fried green tomatoes,make chickpea alfredo,remove scorch marks,fill a hot water bottle,buy flax seed,make roti,make fried rice,make cronuts,clean a cement patio,prepare and cook swiss chard,set up a hot dog bar,buy saguaro cactus,pack your gym bag,make tuticorin macaroons,make crackers,clean a felt pool table top,clean an acrylic shower,make a tropical breakfast,chop down a tree,put togethera basic pruning kit,cook ham hocks,make strawberries and cream,make a pizza more cheesy,make idiyappam,make caramel apples,halve an egg,make beavertails,buy a used external flash,cook mhalabia,buy a motorcycle helmet,make fish stock,clean a dirty tent,setup a fish tank,make crab masala,False,40,False,Deltona,True,False,False,False,False,True,False,False,3,False,True,False,False,False,False,False,False,Freelancer,True,False,True,False,True,False,True,False,True,False,False,2,2,2,2,fl,2,2,3,3,5,7,6,2,2,2,7,2,2,2,2,2,8,9,2,2,2,2,2,2,2,6,9,3,8,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,3,3,2,3,2,2,True,x,,,,,,,,
18,18,3LN50BUKQ1SQT6FHPPE2UEJ9OW6PLY,37UYMO4U6OXYRPUT0ZXXCO63DEXY2F,NEW: Rate how useful these activities are (you can do multiple HITs),"What activities would you like done by a robot? MULTIPLE HITS NOW ALLOWED. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Sun Jan 30 09:44:46 PST 2022,9,BatchId:4659310;OriginalHitTemplateId:928390912;,3600,259200,Sun Jan 30 09:44:13 PST 2022,,,3TXMY6UCAL5LDYKK3S5UFJFK7GHQCZ,A3HNEYFOIJWPH1,Approved,Sun Jan 30 09:44:56 PST 2022,Sun Jan 30 09:48:00 PST 2022,Wed Feb 02 09:48:00 PST 2022,Wed Feb 02 09:48:21 PST 2022,,,184,100% (29/29),100% (27/27),0% (0/0),mix cement,salt nuts,hang a plate,make a louisiana seafood boil,make pani poori,prepare greek pitas,make crepes,store vodka,cook sausages,prepare quinoa,cool cakes,prepare an emergency school kit,make salbutes,make blueberry mousse,toast buns,make a bake sale stand stall,clean an espresso machine,make fried durian,fill a bucket in a small sink,make an office in your kitchen,make white wine sauce,make gomasio,make pudding,make peaches and amaranth,buy a good avocado,clean boxing gloves,make onion fritters,clean pewter,clean rubber bathmats,make rice pudding,make onion ring batter,blanch tomatoes,buy a good used camera lens,prepare your garden for a cat,make sugar water,clean a couch,wash lettuce,dust houseplants,de-clutter your garage,make scrap fabric pom poms,organise a linen closet,polish cymbals,ground an outlet,can syrup,make bircher muesli with pearand berries,clean nickel,make carne asada,clean resin,make balsamic strawberries,make kothimbir vadi,False,38,False,Hobart,True,False,False,False,False,True,False,False,3,False,False,False,False,False,False,False,False,HVAC Tech,True,False,True,False,True,False,True,False,False,True,False,3,8,6,3,in,8,3,3,8,3,3,5,3,6,2,6,4,5,4,2,4,3,5,6,6,6,6,5,2,3,2,7,5,2,9,5,6,8,4,3,8,4,3,4,2,4,3,4,3,2,5,5,4,6,6,True,x,,,,,,,,
